,T /s,C /ms^-1,U /ms^-1,LMBD /m
0,0.01,0.0156131002,0.00780655009,0.000156131002
1,0.02,0.0312262004,0.0156131002,0.000624524007
2,0.03,0.0468393006,0.0234196503,0.00140517902
3,0.04,0.0624524007,0.0312262004,0.00249809603
4,0.05,0.0780655009,0.0390327505,0.00390327505
5,0.06,0.0936786011,0.0468393006,0.00562071607
6,0.07,0.109291701,0.0546458506,0.00765041909
7,0.08,0.124904801,0.0624524007,0.00999238412
8,0.09,0.140517902,0.0702589508,0.0126466111
9,0.1,0.156131002,0.0780655009,0.0156131002
10,0.11,0.171744102,0.085872051,0.0188918512
11,0.12,0.187357202,0.0936786011,0.0224828643
12,0.13,0.202970302,0.101485151,0.0263861393
13,0.14,0.218583403,0.109291701,0.0306016764
14,0.15,0.234196503,0.117098251,0.0351294754
15,0.16,0.249809603,0.124904801,0.0399695365
16,0.17,0.265422703,0.132711352,0.0451218595
17,0.18,0.281035803,0.140517902,0.0505864446
18,0.19,0.296648903,0.148324452,0.0563632917
19,0.2,0.312262004,0.156131002,0.0624524007
20,0.21,0.327875104,0.163937552,0.0688537718
21,0.22,0.343488204,0.171744102,0.0755674049
22,0.23,0.359101304,0.179550652,0.0825933
23,0.24,0.374714404,0.187357202,0.0899314571
24,0.25,0.390327505,0.195163752,0.0975818761
25,0.26,0.405940605,0.202970302,0.105544557
26,0.27,0.421553705,0.210776852,0.1138195
27,0.28,0.437166805,0.218583403,0.122406705
28,0.29,0.452779905,0.226389953,0.131306173
29,0.3,0.468393006,0.234196503,0.140517902
30,0.31,0.484006106,0.242003053,0.150041893
31,0.32,0.499619206,0.249809603,0.159878146
32,0.33,0.515232306,0.257616153,0.170026661
33,0.34,0.530845406,0.265422703,0.180487438
34,0.35,0.546458506,0.273229253,0.191260477
35,0.36,0.562071607,0.281035804,0.202345778
36,0.37,0.577684707,0.288842354,0.213743341
37,0.38,0.593297807,0.296648906,0.225453167
38,0.39,0.608910906,0.304455461,0.237475253
39,0.4,0.624524005,0.312262025,0.249809602
40,0.41,0.640137101,0.32006861,0.262456212
41,0.42,0.655750192,0.327875238,0.275415081
42,0.43,0.671363271,0.335681956,0.288686207
43,0.44,0.686976326,0.343488848,0.302269583
44,0.45,0.702589333,0.351296058,0.3161652
45,0.46,0.718202254,0.359103824,0.330373037
46,0.47,0.733815021,0.366912519,0.34489306
47,0.48,0.749427529,0.374722708,0.359725214
48,0.49,0.765039611,0.382535212,0.374869409
49,0.5,0.780651022,0.390351187,0.390325511
50,0.51,0.796261403,0.398172205,0.406093316
51,0.52,0.811870254,0.406000348,0.422172532
52,0.53,0.827476885,0.413838297,0.438562749
53,0.54,0.843080378,0.421689415,0.455263404
54,0.55,0.858679532,0.42955783,0.472273743
